place,title,time,pay,date
대구 달서구, CGF(주) 대천국밥 본사직영점,09:00~19:00,"월급2,400,000",6시간전
대구 북구, CGF(주) 존가네 본사직영점,11:00~22:00,"월급2,500,000",01/25
대구 달서구, CGF(주) 대천국밥 본사직영점,11:00~21:30,"월급2,500,000",01/25
