place,title,time,pay,date
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",4시간전
서울 노원구, TGIF 노원점,18:00~21:30,"시급8,720",9시간전
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,720",01/27
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",01/26
